lat,lon,postcode,quality,eastings,northings,country,nhs_ha,longitude,latitude,european_electoral_region,primary_care_trust,region,lsoa,msoa,incode,outcode,parliamentary_constituency,admin_district,parish,admin_county,admin_ward,ced,ccg,nuts,codes,distance
52.92345400000001,-1.474217,DE1 9RB,1,435446,336356,England,East Midlands,-1.474217,52.923454,East Midlands,Derby City,East Midlands,Derby 013F,Derby 013,9RB,DE1,Derby South,Derby,"Derby, unparished area",,Arboretum,,NHS Derby and Derbyshire,Derby,"{'admin_district': 'E06000015', 'admin_county': 'E99999999', 'admin_ward': 'E05001770', 'parish': 'E43000014', 'parliamentary_constituency': 'E14000663', 'ccg': 'E38000229', 'ccg_id': '15M', 'ced': 'E99999999', 'nuts': 'TLF11', 'lsoa': 'E01013479', 'msoa': 'E02002808', 'lau2': 'E06000015'}",0.0
53.45732099999999,-2.262773,M15 5BR,1,382649,395651,England,North West,-2.262773,53.457321,North West,Trafford,North West,Trafford 001B,Trafford 001,5BR,M15,Stretford and Urmston,Trafford,"Trafford, unparished area",,Clifford,,NHS Trafford,Greater Manchester South West,"{'admin_district': 'E08000009', 'admin_county': 'E99999999', 'admin_ward': 'E05000825', 'parish': 'E43000163', 'parliamentary_constituency': 'E14000979', 'ccg': 'E38000187', 'ccg_id': '02A', 'ced': 'E99999999', 'nuts': 'TLD34', 'lsoa': 'E01006110', 'msoa': 'E02001259', 'lau2': 'E08000009'}",0.0
50.871446,-0.729985,PO18 0QD,1,489460,108762,England,South East Coast,-0.729985,50.871446,South East,West Sussex,South East,Chichester 006D,Chichester 006,0QD,PO18,Chichester,Chichester,Westhampnett,West Sussex,Goodwood,Chichester North,NHS West Sussex,West Sussex (South West),"{'admin_district': 'E07000225', 'admin_county': 'E10000032', 'admin_ward': 'E05011674', 'parish': 'E04009939', 'parliamentary_constituency': 'E14000633', 'ccg': 'E38000248', 'ccg_id': '70F', 'ced': 'E58001614', 'nuts': 'TLJ27', 'lsoa': 'E01031509', 'msoa': 'E02006566', 'lau2': 'E07000225'}",0.0
50.215687,-5.191573,TR16 6JB,1,172405,39951,England,South West,-5.191573,50.215687,South West,Cornwall and Isles of Scilly,South West,Cornwall 050A,Cornwall 050,6JB,TR16,Camborne and Redruth,Cornwall,Lanner,,"Lanner, Stithians & Gwennap",,NHS Kernow,Cornwall and Isles of Scilly,"{'admin_district': 'E06000052', 'admin_county': 'E99999999', 'admin_ward': 'E05013843', 'parish': 'E04011461', 'parliamentary_constituency': 'E14000616', 'ccg': 'E38000089', 'ccg_id': '11N', 'ced': 'E99999999', 'nuts': 'TLK30', 'lsoa': 'E01018916', 'msoa': 'E02003921', 'lau2': 'E06000052'}",0.0
57.540178000000004,-3.758607,IV12 5LD,1,294824,851369,Scotland,Highland,-3.758607,57.540178,Scotland,Highland Health and Social Care Partnership,,Nairn Rural - 06,Nairn Rural,5LD,IV12,"Inverness, Nairn, Badenoch and Strathspey",Highland,,,Nairn and Cawdor,,Highland Health and Social Care Partnership,"Inverness and Nairn, Moray, and Badenoch and Strathspey","{'admin_district': 'S12000017', 'admin_county': 'S99999999', 'admin_ward': 'S13003007', 'parish': 'S99999999', 'parliamentary_constituency': 'S14000039', 'ccg': 'S03000044', 'ccg_id': '044', 'ced': 'S99999999', 'nuts': 'TLM62', 'lsoa': 'S01010553', 'msoa': 'S02001985', 'lau2': 'S30000030'}",0.0
51.126982,1.323783,CT16 1LX,1,632714,141540,England,South East Coast,1.324373,51.125841,South East,Eastern and Coastal Kent,South East,Dover 012E,Dover 012,1LX,CT16,Dover,Dover,Dover,Kent,Town & Castle,Dover Town,NHS Kent and Medway,East Kent,"{'admin_district': 'E07000108', 'admin_county': 'E10000016', 'admin_ward': 'E05012869', 'parish': 'E04004932', 'parliamentary_constituency': 'E14000670', 'ccg': 'E38000237', 'ccg_id': '91Q', 'ced': 'E58000700', 'nuts': 'TLJ44', 'lsoa': 'E01033209', 'msoa': 'E02005052', 'lau2': 'E07000108'}",133.48794938
52.248118,0.10936300000000002,CB24 9YN,1,544196,263163,England,East of England,0.110752,52.24776,Eastern,Cambridgeshire,East of England,South Cambridgeshire 006A,South Cambridgeshire 006,9YN,CB24,South East Cambridgeshire,South Cambridgeshire,Impington,Cambridgeshire,Histon & Impington,Histon & Impington,NHS Cambridgeshire and Peterborough,Cambridgeshire CC,"{'admin_district': 'E07000012', 'admin_county': 'E10000003', 'admin_ward': 'E05011297', 'parish': 'E04010465', 'parliamentary_constituency': 'E14000937', 'ccg': 'E38000026', 'ccg_id': '06H', 'ced': 'E58000069', 'nuts': 'TLH12', 'lsoa': 'E01018257', 'msoa': 'E02003780', 'lau2': 'E07000012'}",102.89017368
52.73052,-1.102517,LE12 7PH,1,460703,315142,England,East Midlands,-1.102517,52.73052,East Midlands,Leicestershire County and Rutland,East Midlands,Charnwood 013D,Charnwood 013,7PH,LE12,Loughborough,Charnwood,Sileby,Leicestershire,Sileby,Sileby & The Wolds,NHS West Leicestershire,Leicestershire CC and Rutland,"{'admin_district': 'E07000130', 'admin_county': 'E10000018', 'admin_ward': 'E05005448', 'parish': 'E04005387', 'parliamentary_constituency': 'E14000797', 'ccg': 'E38000201', 'ccg_id': '04V', 'ced': 'E58000877', 'nuts': 'TLF22', 'lsoa': 'E01025751', 'msoa': 'E02005357', 'lau2': 'E07000130'}",0.0
51.643843,-0.42770699999999995,WD18 8RL,1,508889,195063,England,East of England,-0.427722,51.643834,Eastern,Hertfordshire,East of England,Watford 011D,Watford 011,8RL,WD18,Watford,Watford,"Watford, unparished area",Hertfordshire,Holywell,West Watford,NHS Herts Valleys,Hertfordshire CC,"{'admin_district': 'E07000103', 'admin_county': 'E10000015', 'admin_ward': 'E05011048', 'parish': 'E43000082', 'parliamentary_constituency': 'E14001021', 'ccg': 'E38000079', 'ccg_id': '06N', 'ced': 'E58000677', 'nuts': 'TLH23', 'lsoa': 'E01023866', 'msoa': 'E02004978', 'lau2': 'E07000103'}",1.44250208
51.543989,-0.214267,NW2 4BY,1,523929,184299,England,London,-0.214267,51.543989,London,Brent Teaching,London,Brent 023B,Brent 023,4BY,NW2,Hampstead and Kilburn,Brent,"Brent, unparished area",,Brondesbury Park,,NHS North West London,Brent,"{'admin_district': 'E09000005', 'admin_county': 'E99999999', 'admin_ward': 'E05000087', 'parish': 'E43000195', 'parliamentary_constituency': 'E14000727', 'ccg': 'E38000256', 'ccg_id': 'W2U3Z', 'ced': 'E99999999', 'nuts': 'TLI72', 'lsoa': 'E01000494', 'msoa': 'E02000115', 'lau2': 'E09000005'}",0.0
